total_purchases,avg_cart_value,total_time_spent,product_click,discount_counts,customer_id,Cluster,Cluster_Name
25.0,29.58,26.71,24.0,10.0,CM00087,0,Window Shoppers
25.0,25.33,5.83,17.0,9.0,CM00088,0,Window Shoppers
21.0,33.72,25.95,17.0,12.0,CM00089,0,Window Shoppers
10.0,52.48,93.93,41.0,0.0,CM00090,2,High Spenders
3.0,59.02,84.11,32.0,4.0,CM00091,2,High Spenders
8.0,151.63,39.02,19.0,1.0,CM00092,1,Bargain Hunters
18.0,44.74,8.13,11.0,12.0,CM00093,0,Window Shoppers
19.0,38.33,5.14,16.0,12.0,CM00094,0,Window Shoppers
4.0,20.57,69.45,59.0,1.0,CM00095,2,High Spenders
22.0,48.01,22.98,12.0,12.0,CM00096,0,Window Shoppers
14.0,194.9,44.85,13.0,2.0,CM00098,1,Bargain Hunters
19.0,16.21,8.25,11.0,12.0,CM00099,0,Window Shoppers
21.0,16.65,8.32,17.0,5.0,CM00100,0,Window Shoppers
2.0,44.68,68.68,47.0,0.0,CM00101,2,High Spenders
15.0,14.26,21.09,13.0,8.0,CM00102,0,Window Shoppers
24.0,36.72,11.86,20.0,9.0,CM00103,0,Window Shoppers
14.0,188.33,37.1,26.0,1.0,CM00104,1,Bargain Hunters
19.0,162.57,34.77,15.0,1.0,CM00105,1,Bargain Hunters
4.0,30.23,89.63,47.0,2.0,CM00106,2,High Spenders
11.0,124.03,36.76,19.0,0.0,CM00107,1,Bargain Hunters
5.0,26.23,80.28,42.0,1.0,CM00108,2,High Spenders
28.0,20.39,19.5,12.0,13.0,CM00109,0,Window Shoppers
3.0,68.64,103.49,49.0,2.0,CM00110,2,High Spenders
22.0,41.18,17.89,20.0,7.0,CM00111,0,Window Shoppers
21.0,13.01,18.16,14.0,8.0,CM00112,0,Window Shoppers
7.0,147.85,23.26,22.0,2.0,CM00113,1,Bargain Hunters
15.0,160.09,51.97,21.0,1.0,CM00114,1,Bargain Hunters
4.0,63.12,98.92,45.0,2.0,CM00115,2,High Spenders
11.0,153.19,49.38,31.0,2.0,CM00116,1,Bargain Hunters
22.0,10.74,12.29,19.0,9.0,CM00117,0,Window Shoppers
5.0,79.52,99.66,47.0,1.0,CM00118,2,High Spenders
12.0,194.6,53.76,24.0,3.0,CM00119,1,Bargain Hunters
16.0,16.43,16.59,11.0,13.0,CM00120,0,Window Shoppers
8.0,24.34,115.96,55.0,2.0,CM00121,2,High Spenders
5.0,49.88,69.92,54.0,1.0,CM00122,2,High Spenders
9.0,31.28,89.1,58.0,2.0,CM00123,2,High Spenders
5.0,69.69,118.83,50.0,0.0,CM00124,2,High Spenders
5.0,55.62,76.35,45.0,1.0,CM00125,2,High Spenders
8.0,24.07,78.98,59.0,1.0,CM00126,2,High Spenders
7.0,154.81,31.22,11.0,0.0,CM00127,1,Bargain Hunters
9.0,190.24,34.52,21.0,3.0,CM00128,1,Bargain Hunters
14.0,49.65,17.68,19.0,12.0,CM00129,0,Window Shoppers
3.0,140.07,40.18,19.0,1.0,CM00130,1,Bargain Hunters
10.0,106.94,59.13,17.0,2.0,CM00131,1,Bargain Hunters
6.0,52.52,64.51,55.0,1.0,CM00132,2,High Spenders
3.0,76.86,108.67,48.0,0.0,CM00133,2,High Spenders
5.0,48.22,86.63,56.0,1.0,CM00134,2,High Spenders
8.0,132.35,56.28,18.0,0.0,CM00135,1,Bargain Hunters
27.0,10.52,10.75,15.0,9.0,CM00136,0,Window Shoppers
14.0,20.38,24.41,9.0,8.0,CM00137,0,Window Shoppers
4.0,37.01,91.17,43.0,0.0,CM00138,2,High Spenders
28.0,17.26,14.21,18.0,9.0,CM00140,0,Window Shoppers
17.0,45.85,27.35,16.0,11.0,CM00141,0,Window Shoppers
1.0,61.39,103.71,51.0,2.0,CM00142,2,High Spenders
18.0,46.69,17.45,18.0,4.0,CM00143,0,Window Shoppers
20.0,20.89,13.42,6.0,8.0,CM00144,0,Window Shoppers
15.0,155.47,30.82,19.0,1.0,CM00145,1,Bargain Hunters
8.0,71.67,98.61,52.0,2.0,CM00146,2,High Spenders
13.0,144.41,31.43,20.0,4.0,CM00147,1,Bargain Hunters
22.0,35.99,29.67,19.0,9.0,CM00148,0,Window Shoppers
5.0,62.85,96.57,57.0,0.0,CM00149,2,High Spenders
8.0,185.0,32.26,17.0,3.0,CM00150,1,Bargain Hunters
11.0,131.52,40.86,12.0,3.0,CM00151,1,Bargain Hunters
26.0,13.31,22.24,10.0,11.0,CM00152,0,Window Shoppers
5.0,53.37,77.48,42.0,1.0,CM00153,2,High Spenders
27.0,26.86,16.83,22.0,15.0,CM00154,0,Window Shoppers
27.0,37.9,23.13,16.0,18.0,CM00155,0,Window Shoppers
4.0,43.59,105.33,39.0,0.0,CM00156,2,High Spenders
10.0,135.47,28.27,16.0,3.0,CM00157,1,Bargain Hunters
20.0,47.79,8.05,19.0,12.0,CM00158,0,Window Shoppers
8.0,166.65,25.53,12.0,2.0,CM00159,1,Bargain Hunters
5.0,60.09,99.45,51.0,0.0,CM00160,2,High Spenders
13.0,181.37,51.34,23.0,0.0,CM00161,1,Bargain Hunters
6.0,39.65,85.98,43.0,0.0,CM00162,2,High Spenders
3.0,46.89,114.76,51.0,0.0,CM00163,2,High Spenders
5.0,65.82,76.11,44.0,1.0,CM00164,2,High Spenders
10.0,109.8,22.19,20.0,1.0,CM00165,1,Bargain Hunters
12.0,106.14,27.95,16.0,1.0,CM00166,1,Bargain Hunters
4.0,72.83,80.42,49.0,2.0,CM00167,2,High Spenders
18.0,44.87,14.33,15.0,9.0,CM00168,0,Window Shoppers
7.0,158.56,23.51,20.0,3.0,CM00169,1,Bargain Hunters
15.0,137.78,50.63,17.0,4.0,CM00170,1,Bargain Hunters
21.0,30.98,26.79,13.0,6.0,CM00171,0,Window Shoppers
30.0,29.82,7.04,10.0,10.0,CM00172,0,Window Shoppers
7.0,172.89,38.87,32.0,5.0,CM00173,1,Bargain Hunters
15.0,18.81,29.43,9.0,21.0,CM00174,0,Window Shoppers
8.0,141.08,21.56,23.0,0.0,CM00175,1,Bargain Hunters
21.0,32.63,25.2,17.0,7.0,CM00176,0,Window Shoppers
13.0,164.82,30.77,18.0,3.0,CM00177,1,Bargain Hunters
5.0,33.67,101.79,33.0,1.0,CM00178,2,High Spenders
16.0,20.68,24.06,20.0,8.0,CM00179,0,Window Shoppers
3.0,33.29,90.84,43.0,0.0,CM00180,2,High Spenders
28.0,13.48,21.47,29.0,17.0,CM00181,0,Window Shoppers
21.0,18.88,9.09,16.0,9.0,CM00182,0,Window Shoppers
4.0,59.32,70.28,43.0,1.0,CM00183,2,High Spenders
27.0,47.71,8.71,10.0,9.0,CM00184,0,Window Shoppers
17.0,26.38,8.28,16.0,13.0,CM00185,0,Window Shoppers
14.0,16.25,11.84,18.0,15.0,CM00186,0,Window Shoppers
3.0,50.27,104.14,56.0,2.0,CM00187,2,High Spenders
7.0,176.65,40.0,24.0,2.0,CM00188,1,Bargain Hunters
13.0,140.54,48.7,12.0,2.0,CM00189,1,Bargain Hunters
8.0,161.36,38.34,12.0,3.0,CM00190,1,Bargain Hunters
15.0,34.02,5.24,10.0,3.0,CM00191,0,Window Shoppers
18.0,23.67,9.89,9.0,6.0,CM00192,0,Window Shoppers
14.0,164.18,27.6,28.0,3.0,CM00193,1,Bargain Hunters
5.0,72.58,73.91,53.0,1.0,CM00194,2,High Spenders
5.0,144.26,24.5,17.0,3.0,CM00195,1,Bargain Hunters
27.0,41.45,6.43,12.0,13.0,CM00196,0,Window Shoppers
23.0,41.02,20.52,12.0,8.0,CM00197,0,Window Shoppers
29.0,37.12,21.69,16.0,12.0,CM00198,0,Window Shoppers
13.0,123.37,20.55,20.0,3.0,CM00199,1,Bargain Hunters
18.0,47.01,29.69,17.0,4.0,CM00200,0,Window Shoppers
8.0,77.02,74.75,46.0,0.0,CM00201,2,High Spenders
5.0,171.21,49.69,18.0,3.0,CM00202,1,Bargain Hunters
18.0,13.08,27.73,19.0,9.0,CM00203,0,Window Shoppers
3.0,39.74,114.54,47.0,1.0,CM00204,2,High Spenders
10.0,125.23,26.15,21.0,4.0,CM00205,1,Bargain Hunters
12.0,109.44,39.35,21.0,0.0,CM00206,1,Bargain Hunters
3.0,22.14,90.9,51.0,1.0,CM00207,2,High Spenders
8.0,158.66,33.15,19.0,0.0,CM00208,1,Bargain Hunters
7.0,150.0,37.19,15.0,1.0,CM00209,1,Bargain Hunters
3.0,48.25,68.04,60.0,1.0,CM00210,2,High Spenders
10.0,128.03,53.15,21.0,4.0,CM00211,1,Bargain Hunters
11.0,184.22,49.69,14.0,2.0,CM00213,1,Bargain Hunters
5.0,23.24,107.05,55.0,0.0,CM00214,2,High Spenders
18.0,21.88,5.79,13.0,9.0,CM00215,0,Window Shoppers
12.0,120.23,43.81,23.0,2.0,CM00216,1,Bargain Hunters
9.0,104.03,22.15,11.0,4.0,CM00217,1,Bargain Hunters
15.0,34.31,29.13,10.0,14.0,CM00218,0,Window Shoppers
3.0,74.57,96.94,64.0,3.0,CM00219,2,High Spenders
11.0,160.44,37.63,22.0,1.0,CM00220,1,Bargain Hunters
4.0,36.2,72.94,55.0,2.0,CM00221,2,High Spenders
9.0,135.66,21.01,24.0,2.0,CM00222,1,Bargain Hunters
8.0,27.63,67.57,38.0,2.0,CM00223,2,High Spenders
12.0,50.69,111.24,43.0,0.0,CM00224,2,High Spenders
10.0,163.24,27.85,25.0,0.0,CM00225,1,Bargain Hunters
22.0,13.66,21.47,15.0,9.0,CM00226,0,Window Shoppers
23.0,35.3,5.19,14.0,7.0,CM00227,0,Window Shoppers
16.0,33.29,17.15,21.0,9.0,CM00228,0,Window Shoppers
21.0,41.19,24.12,16.0,16.0,CM00229,0,Window Shoppers
23.0,31.58,17.31,11.0,11.0,CM00230,0,Window Shoppers
12.0,107.93,57.8,26.0,3.0,CM00231,1,Bargain Hunters
16.0,18.82,26.7,26.0,6.0,CM00232,0,Window Shoppers
6.0,131.58,25.53,17.0,2.0,CM00233,1,Bargain Hunters
5.0,175.35,43.88,15.0,3.0,CM00234,1,Bargain Hunters
15.0,195.79,25.57,23.0,4.0,CM00235,1,Bargain Hunters
18.0,44.95,17.99,22.0,13.0,CM00236,0,Window Shoppers
15.0,159.35,26.35,15.0,2.0,CM00237,1,Bargain Hunters
7.0,54.4,81.83,41.0,1.0,CM00238,2,High Spenders
7.0,27.37,117.7,42.0,0.0,CM00239,2,High Spenders
12.0,105.46,46.84,19.0,3.0,CM00240,1,Bargain Hunters
4.0,195.46,50.05,24.0,3.0,CM00241,1,Bargain Hunters
2.0,28.16,97.8,63.0,1.0,CM00242,2,High Spenders
6.0,43.49,98.28,51.0,2.0,CM00243,2,High Spenders
20.0,17.46,16.37,17.0,8.0,CM00244,0,Window Shoppers
4.0,35.83,82.92,46.0,1.0,CM00245,2,High Spenders
3.0,58.11,111.66,52.0,1.0,CM00246,2,High Spenders
11.0,163.78,45.98,23.0,0.0,CM00247,1,Bargain Hunters
17.0,22.75,26.77,10.0,11.0,CM00248,0,Window Shoppers
27.0,46.0,20.45,9.0,8.0,CM00249,0,Window Shoppers
5.0,187.8,59.83,21.0,2.0,CM00250,1,Bargain Hunters
7.0,167.64,36.63,24.0,1.0,CM00251,1,Bargain Hunters
11.0,133.14,29.56,27.0,0.0,CM00252,1,Bargain Hunters
7.0,47.47,22.73,12.0,7.0,CM00254,0,Window Shoppers
20.0,33.61,26.12,18.0,10.0,CM00255,0,Window Shoppers
3.0,49.74,62.45,41.0,0.0,CM00256,2,High Spenders
2.0,63.47,73.21,51.0,2.0,CM00257,2,High Spenders
13.0,10.44,8.56,15.0,6.0,CM00258,0,Window Shoppers
23.0,34.13,25.01,15.0,12.0,CM00259,0,Window Shoppers
11.0,43.78,27.81,14.0,12.0,CM00260,0,Window Shoppers
4.0,76.83,86.16,66.0,1.0,CM00261,2,High Spenders
2.0,29.35,72.22,63.0,1.0,CM00262,2,High Spenders
8.0,111.82,42.81,26.0,4.0,CM00263,1,Bargain Hunters
24.0,37.85,9.49,16.0,10.0,CM00264,0,Window Shoppers
13.0,183.15,36.74,18.0,2.0,CM00265,1,Bargain Hunters
27.0,24.03,29.25,4.0,11.0,CM00266,0,Window Shoppers
10.0,158.45,32.14,19.0,5.0,CM00267,1,Bargain Hunters
18.0,31.65,28.89,12.0,7.0,CM00268,0,Window Shoppers
14.0,18.6,22.85,16.0,7.0,CM00269,0,Window Shoppers
3.0,60.45,115.48,47.0,1.0,CM00270,2,High Spenders
9.0,152.55,54.66,9.0,3.0,CM00271,1,Bargain Hunters
7.0,55.13,62.33,37.0,1.0,CM00272,2,High Spenders
23.0,34.68,13.53,9.0,8.0,CM00273,0,Window Shoppers
11.0,163.37,25.32,18.0,2.0,CM00274,1,Bargain Hunters
18.0,36.88,22.34,16.0,9.0,CM00275,0,Window Shoppers
9.0,112.43,49.68,20.0,1.0,CM00276,1,Bargain Hunters
6.0,55.37,80.89,48.0,2.0,CM00277,2,High Spenders
16.0,110.34,43.02,14.0,0.0,CM00278,1,Bargain Hunters
13.0,195.05,27.57,31.0,2.0,CM00279,1,Bargain Hunters
6.0,44.64,117.6,52.0,2.0,CM00280,2,High Spenders
7.0,66.88,90.34,37.0,3.0,CM00281,2,High Spenders
6.0,69.7,87.26,47.0,1.0,CM00282,2,High Spenders
12.0,190.03,47.68,15.0,1.0,CM00283,1,Bargain Hunters
2.0,62.42,115.92,48.0,2.0,CM00284,2,High Spenders
11.0,182.05,55.46,21.0,2.0,CM00285,1,Bargain Hunters
10.0,195.98,56.83,21.0,1.0,CM00286,1,Bargain Hunters
1.0,31.79,79.76,44.0,2.0,CM00287,2,High Spenders
21.0,33.9,18.99,9.0,12.0,CM00288,0,Window Shoppers
20.0,105.12,36.89,24.0,4.0,CM00289,1,Bargain Hunters
7.0,172.21,26.75,17.0,6.0,CM00290,1,Bargain Hunters
5.0,38.53,88.54,45.0,0.0,CM00291,2,High Spenders
7.0,52.25,63.87,51.0,0.0,CM00292,2,High Spenders
7.0,25.46,108.63,46.0,1.0,CM00293,2,High Spenders
9.0,164.1,48.81,25.0,4.0,CM00295,1,Bargain Hunters
9.0,117.46,34.0,17.0,3.0,CM00296,1,Bargain Hunters
10.0,27.45,28.02,16.0,13.0,CM00297,0,Window Shoppers
11.0,121.79,47.02,18.0,1.0,CM00298,1,Bargain Hunters
13.0,138.21,24.42,17.0,4.0,CM00299,1,Bargain Hunters
2.0,72.91,79.32,38.0,3.0,CM00300,2,High Spenders
2.0,77.77,85.53,57.0,1.0,CM00301,2,High Spenders
26.0,20.89,20.0,17.0,7.0,CM00302,0,Window Shoppers
7.0,77.5,94.62,48.0,0.0,CM00303,2,High Spenders
7.0,51.39,112.33,53.0,1.0,CM00304,2,High Spenders
11.0,140.15,35.07,19.0,1.0,CM00305,1,Bargain Hunters
16.0,15.6,7.93,8.0,12.0,CM00306,0,Window Shoppers
5.0,60.28,90.79,52.0,1.0,CM00307,2,High Spenders
16.0,158.17,58.25,18.0,4.0,CM00308,1,Bargain Hunters
2.0,50.99,105.8,57.0,2.0,CM00309,2,High Spenders
5.0,61.21,87.03,45.0,1.0,CM00311,2,High Spenders
23.0,49.51,23.57,13.0,6.0,CM00312,0,Window Shoppers
6.0,105.7,28.56,19.0,4.0,CM00313,1,Bargain Hunters
3.0,68.54,94.28,55.0,0.0,CM00314,2,High Spenders
12.0,27.84,10.71,17.0,16.0,CM00315,0,Window Shoppers
2.0,48.85,93.13,48.0,2.0,CM00316,2,High Spenders
6.0,74.66,78.21,51.0,2.0,CM00318,2,High Spenders
4.0,44.77,60.68,47.0,0.0,CM00319,2,High Spenders
14.0,14.1,27.45,18.0,12.0,CM00320,0,Window Shoppers
4.0,34.24,66.45,48.0,0.0,CM00321,2,High Spenders
5.0,63.41,118.56,64.0,1.0,CM00322,2,High Spenders
24.0,29.85,27.37,16.0,12.0,CM00323,0,Window Shoppers
17.0,32.39,23.74,11.0,12.0,CM00324,0,Window Shoppers
5.0,43.31,111.55,42.0,1.0,CM00325,2,High Spenders
23.0,31.67,11.72,13.0,5.0,CM00326,0,Window Shoppers
5.0,32.21,75.13,55.0,0.0,CM00327,2,High Spenders
11.0,12.61,9.52,12.0,13.0,CM00328,0,Window Shoppers
17.0,10.85,29.24,7.0,9.0,CM00329,0,Window Shoppers
7.0,141.48,45.81,20.0,2.0,CM00330,1,Bargain Hunters
6.0,154.13,28.79,20.0,1.0,CM00331,1,Bargain Hunters
19.0,29.04,6.3,11.0,9.0,CM00332,0,Window Shoppers
6.0,75.14,116.6,57.0,2.0,CM00333,2,High Spenders
3.0,74.88,79.18,46.0,0.0,CM00334,2,High Spenders
7.0,37.35,104.18,47.0,0.0,CM00335,2,High Spenders
16.0,15.15,20.09,15.0,9.0,CM00336,0,Window Shoppers
4.0,22.95,61.91,39.0,0.0,CM00337,2,High Spenders
24.0,18.95,9.43,13.0,4.0,CM00338,0,Window Shoppers
11.0,148.96,35.67,35.0,2.0,CM00339,1,Bargain Hunters
5.0,38.8,78.9,54.0,5.0,CM00340,2,High Spenders
6.0,46.93,109.08,48.0,2.0,CM00341,2,High Spenders
6.0,44.89,97.04,51.0,0.0,CM00342,2,High Spenders
21.0,11.08,16.28,16.0,8.0,CM00343,0,Window Shoppers
21.0,20.62,20.45,12.0,8.0,CM00344,0,Window Shoppers
7.0,195.67,54.46,19.0,1.0,CM00345,1,Bargain Hunters
3.0,151.17,27.83,17.0,1.0,CM00346,1,Bargain Hunters
9.0,108.99,27.24,18.0,4.0,CM00347,1,Bargain Hunters
9.0,141.41,35.72,23.0,1.0,CM00348,1,Bargain Hunters
18.0,14.82,22.9,9.0,12.0,CM00349,0,Window Shoppers
30.0,19.55,22.67,11.0,8.0,CM00350,0,Window Shoppers
8.0,130.57,23.66,21.0,0.0,CM00351,1,Bargain Hunters
4.0,36.46,106.83,51.0,1.0,CM00352,2,High Spenders
3.0,63.22,109.23,64.0,2.0,CM00354,2,High Spenders
5.0,68.49,75.21,53.0,1.0,CM00355,2,High Spenders
1.0,44.21,102.59,43.0,0.0,CM00356,2,High Spenders
16.0,198.25,40.44,17.0,3.0,CM00357,1,Bargain Hunters
5.0,71.94,73.7,44.0,0.0,CM00358,2,High Spenders
22.0,28.7,16.3,11.0,15.0,CM00359,0,Window Shoppers
14.0,37.19,10.15,11.0,17.0,CM00360,0,Window Shoppers
7.0,193.47,59.06,21.0,2.0,CM00361,1,Bargain Hunters
17.0,44.05,24.56,18.0,7.0,CM00362,0,Window Shoppers
5.0,65.77,91.62,43.0,0.0,CM00363,2,High Spenders
6.0,52.02,82.02,40.0,2.0,CM00364,2,High Spenders
18.0,18.73,7.8,10.0,8.0,CM00365,0,Window Shoppers
19.0,191.73,49.23,17.0,0.0,CM00366,1,Bargain Hunters
6.0,182.01,46.76,20.0,2.0,CM00367,1,Bargain Hunters
6.0,51.14,66.87,44.0,1.0,CM00368,2,High Spenders
11.0,178.35,54.34,19.0,1.0,CM00369,1,Bargain Hunters
15.0,48.76,8.49,11.0,12.0,CM00370,0,Window Shoppers
22.0,11.02,16.15,13.0,9.0,CM00371,0,Window Shoppers
12.0,157.16,34.29,19.0,3.0,CM00372,1,Bargain Hunters
4.0,35.12,87.86,56.0,1.0,CM00373,2,High Spenders
13.0,133.54,37.77,27.0,3.0,CM00374,1,Bargain Hunters
22.0,39.13,23.29,23.0,6.0,CM00375,0,Window Shoppers
7.0,59.53,96.17,51.0,0.0,CM00376,2,High Spenders
10.0,159.57,52.1,17.0,3.0,CM00377,1,Bargain Hunters
5.0,56.39,95.79,43.0,1.0,CM00378,2,High Spenders
14.0,157.69,28.99,15.0,2.0,CM00379,1,Bargain Hunters
15.0,42.26,22.01,16.0,11.0,CM00380,0,Window Shoppers
20.0,33.7,26.96,8.0,11.0,CM00381,0,Window Shoppers
14.0,25.89,14.94,12.0,10.0,CM00382,0,Window Shoppers
12.0,176.37,55.2,21.0,3.0,CM00383,1,Bargain Hunters
17.0,48.84,27.52,12.0,16.0,CM00384,0,Window Shoppers
15.0,134.27,34.22,18.0,0.0,CM00385,1,Bargain Hunters
7.0,74.43,95.62,47.0,0.0,CM00386,2,High Spenders
7.0,113.46,46.77,17.0,1.0,CM00387,1,Bargain Hunters
8.0,100.42,29.31,17.0,3.0,CM00388,1,Bargain Hunters
10.0,111.51,32.49,19.0,2.0,CM00389,1,Bargain Hunters
8.0,45.1,100.06,50.0,1.0,CM00390,2,High Spenders
5.0,158.56,36.01,21.0,1.0,CM00391,1,Bargain Hunters
23.0,19.2,8.29,17.0,8.0,CM00392,0,Window Shoppers
13.0,118.53,36.75,17.0,0.0,CM00393,1,Bargain Hunters
9.0,150.03,36.39,26.0,3.0,CM00394,1,Bargain Hunters
13.0,42.38,22.24,9.0,7.0,CM00395,0,Window Shoppers
5.0,71.47,79.55,50.0,0.0,CM00396,2,High Spenders
6.0,44.34,101.89,50.0,0.0,CM00397,2,High Spenders
5.0,69.63,64.78,59.0,0.0,CM00398,2,High Spenders
20.0,48.52,5.46,16.0,9.0,CM00399,0,Window Shoppers
7.0,78.92,61.83,37.0,1.0,CM00400,2,High Spenders
9.0,169.78,22.38,18.0,2.0,CM00401,1,Bargain Hunters
8.0,168.93,20.81,20.0,2.0,CM00402,1,Bargain Hunters
16.0,18.32,5.78,11.0,11.0,CM00403,0,Window Shoppers
6.0,112.83,20.9,18.0,3.0,CM00404,1,Bargain Hunters
5.0,24.8,113.2,57.0,0.0,CM00405,2,High Spenders
10.0,133.93,58.63,22.0,2.0,CM00406,1,Bargain Hunters
5.0,55.17,92.65,47.0,2.0,CM00407,2,High Spenders
